Latitude,Longitude
50.8428220331676,-113.965446304877
50.8428220331676,-113.904718959923
50.8759806634927,-114.238719357172
50.8759806634927,-114.177992012217
50.8759806634927,-114.117264667263
50.8759806634927,-114.056537322309
50.8759806634927,-113.995809977354
50.8759806634927,-113.9350826324
50.8759806634927,-113.874355287446
50.9091392938178,-114.208355684695
50.9091392938178,-114.14762833974
50.9091392938178,-114.086900994786
50.9091392938178,-114.026173649832
50.9091392938178,-113.965446304877
50.9091392938178,-113.904718959923
50.9422979241428,-114.238719357172
50.9422979241428,-114.177992012217
50.9422979241428,-114.117264667263
50.9422979241428,-114.056537322309
50.9422979241428,-113.995809977354
50.9422979241428,-113.9350826324
50.9422979241428,-113.874355287446
50.9754565544679,-114.14762833974
50.9754565544679,-114.086900994786
50.9754565544679,-114.026173649832
50.9754565544679,-113.965446304877
50.9754565544679,-113.904718959923
51.008615184793,-114.238719357172
51.008615184793,-114.177992012217
51.008615184793,-114.117264667263
51.008615184793,-114.056537322309
51.008615184793,-113.995809977354
51.008615184793,-113.9350826324
51.0417738151181,-114.269083029649
51.0417738151181,-114.208355684695
51.0417738151181,-114.14762833974
51.0417738151181,-114.086900994786
51.0417738151181,-114.026173649832
51.0417738151181,-113.965446304877
51.0417738151181,-113.904718959923
51.0749324454432,-114.238719357172
51.0749324454432,-114.177992012217
51.0749324454432,-114.117264667263
51.0749324454432,-114.056537322309
51.0749324454432,-113.995809977354
51.0749324454432,-113.9350826324
51.1080910757682,-114.269083029649
51.1080910757682,-114.208355684695
51.1080910757682,-114.14762833974
51.1080910757682,-114.086900994786
51.1080910757682,-114.026173649832
51.1080910757682,-113.965446304877
51.1080910757682,-113.904718959923
51.1412497060933,-114.238719357172
51.1412497060933,-114.177992012217
51.1412497060933,-114.117264667263
51.1412497060933,-114.056537322309
51.1412497060933,-113.995809977354
51.1412497060933,-113.9350826324
51.1744083364184,-114.269083029649
51.1744083364184,-114.208355684695
51.1744083364184,-114.14762833974
51.1744083364184,-114.086900994786
51.1744083364184,-114.026173649832
51.1744083364184,-113.965446304877
51.1744083364184,-113.904718959923
